,city,county,address,number,country,full_address,latitude,longitude
117,Poznań,Poznań,Dębowa 45-51,94609,Poland,"Dębowa 45-51,Poznań,Poland",52.3684615,16.9133721
118,Poznań,Poznań,Dębowa 45-51,94605,Poland,"Dębowa 45-51,Poznań,Poland",52.3684615,16.9133721
119,Poznań,Poznań,Konarowa 4-6,94608,Poland,"Konarowa 4-6,Poznań,Poland",52.3714576,16.9045731
120,Poznań,Poznań,Łozowa 22,94604,Poland,"Łozowa 22,Poznań,Poland",52.3723844,16.9083021
121,Poznań,Poznań,Łozowa 22,94607,Poland,"Łozowa 22,Poznań,Poland",52.3723844,16.9083021
122,Poznań,Poznań,Osinowa 10ABC,94599,Poland,"Osinowa 10ABC,Poznań,Poland",52.36837864,16.91138791
123,Poznań,Poznań,Osinowa 14/16,94600,Poland,"Osinowa 14/16,Poznań,Poland",52.3676132,16.9120952
124,Poznań,Poznań,Racjonalizatorów 5-9,94601,Poland,"Racjonalizatorów 5-9,Poznań,Poland",52.3666443,16.906086
125,Poznań,Poznań,Orzechowa 19,94698,Poland,"Orzechowa 19,Poznań,Poland",52.3637589,16.9093866
126,Poznań,Poznań,Orzechowa 27,94700,Poland,"Orzechowa 27,Poznań,Poland",52.3630118,16.9086692
127,Poznań,Poznań,Orzechowa 27,3928,Poland,"Orzechowa 27,Poznań,Poland",52.3630118,16.9086692
128,Poznań,Poznań,Osinowa 4,94699,Poland,"Osinowa 4,Poznań,Poland",52.3674603,16.9090628
129,Poznań,Poznań,Falista 5,95404,Poland,"Falista 5,Poznań,Poland",52.3690603,16.9465373
130,Poznań,Poznań,Unii Lubelskiej 16,95407,Poland,"Unii Lubelskiej 16,Poznań,Poland",52.370664,16.9481784
131,Poznań,Poznań,Unii Lubelskiej/Falista,95409,Poland,"Unii Lubelskiej/Falista,Poznań,Poland",52.37551406,16.95445717
132,Poznań,Poznań,Katowicka/Zabrzańska,95440,Poland,"Katowicka/Zabrzańska,Poznań,Poland",52.39791024,16.96457873
133,Poznań,Poznań,os Rusa 10,96102,Poland,"os Rusa 10,Poznań,Poland",52.3911817,16.9825988
134,Poznań,Poznań,os Rusa 62,96105,Poland,"os Rusa 62,Poznań,Poland",52.3907673,16.9886512
135,Poznań,Poznań,os Rusa 34 Stokrotka,96106,Poland,"os Rusa 34 Stokrotka,Poznań,Poland",52.40832901,16.93361092
136,Poznań,poznański,Os.Bohaterów II Wojny Światowej 37,94180,Poland,"Os.Bohaterów II Wojny Światowej 37,Poznań,Poland",52.3822537,16.9525343
137,Poznań,poznański,Os.Bohaterów II Wojny Światowej 39,42894,Poland,"Os.Bohaterów II Wojny Światowej 39,Poznań,Poland",52.381974,16.9511813
138,Poznań,poznański,Os. Bohaterów II Wojny Światowej 53,54281,Poland,"Os. Bohaterów II Wojny Światowej 53,Poznań,Poland",52.3818448,16.9500955
139,Poznań,poznański,Os. Rzeczypospolitej 100,60753,Poland,"Os. Rzeczypospolitej 100,Poznań,Poland",52.3862775,16.9506248
140,Poznań,poznański,Os.Rzeczypospolitej 16,10818,Poland,"Os.Rzeczypospolitej 16,Poznań,Poland",52.3867518,16.9474643
141,Poznań,poznański,Os.Rzeczypospolitej 14,42111,Poland,"Os.Rzeczypospolitej 14,Poznań,Poland",52.3869523,16.9464721
142,Poznań,poznański,Os.Armii Krajowej 30,40400,Poland,"Os.Armii Krajowej 30,Poznań,Poland",52.3809004,16.9467749
143,Poznań,poznański,Os.Armii Krajowej 62,10189,Poland,"Os.Armii Krajowej 62,Poznań,Poland",52.3800928,16.9495801
144,Poznań,poznański,Os.Armii Krajowej 102,49228,Poland,"Os.Armii Krajowej 102,Poznań,Poland",52.3785872,16.9510543
145,Poznań,poznański,Os.Armii Krajowej 95,26526,Poland,"Os.Armii Krajowej 95,Poznań,Poland",52.38008,16.953987
